training_step,original_training_step,eval_connection_error_rate,eval_connection_success_rate,validation_base_reward_raw,validation_base_reward,validation_base_reward_source_run_id,validation_base_reward_source_run_name,validation_base_reward_source_created_at,validation_base_reward_source_wandb_step,validation_medal_count_raw,validation_medal_count,validation_medal_count_source_run_id,validation_medal_count_source_run_name,validation_medal_count_source_created_at,validation_medal_count_source_wandb_step,rollout_base_reward,rollout_base_reward_source_run_id,rollout_base_reward_source_run_name,rollout_base_reward_source_created_at,rollout_base_reward_source_wandb_step
0,570,,,,,,,,,,,,,,,0.179609899277,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,0
1,571,,,,,,,,,,,,,,,0.226161976256,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,5
2,572,,,,,,,,,,,,,,,0.207445800493,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,10
3,573,,,,,,,,,,,,,,,0.150833747184,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,15
4,574,0,1,0.143887275797,0.143887275797,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,25,8,8,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,25,0.215697079957,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,20
5,575,,,,,,,,,,,,,,,0.148302694454,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,26
6,576,,,,,,,,,,,,,,,0.245420534252,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,31
7,577,,,,,,,,,,,,,,,0.168106498435,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,36
8,578,,,,,,,,,,,,,,,0.290020974721,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,41
9,579,0,1,0.155306514261,0.155306514261,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,51,7,7,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,51,0.210340714778,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,46
10,580,,,,,,,,,,,,,,,0.271455776422,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,52
11,581,,,,,,,,,,,,,,,0.203044645992,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,57
12,582,,,,,,,,,,,,,,,0.324437101569,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,62
13,583,,,,,,,,,,,,,,,0.251140557246,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,67
14,584,0,1,0.202066888936,0.202066888936,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,77,10,10,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,77,0.260742196973,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,72
15,585,,,,,,,,,,,,,,,0.189876740343,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,78
16,586,,,,,,,,,,,,,,,0.23863334718,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,83
17,587,,,,,,,,,,,,,,,0.216159759097,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,88
18,588,,,,,,,,,,,,,,,0.258321927713,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,93
19,589,0,1,0.171698836025,0.171698836025,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,103,11,11,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,103,0.270561554234,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,98
20,590,,,,,,,,,,,,,,,0.332757763355,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,104
21,591,,,,,,,,,,,,,,,0.231009796879,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,109
22,592,,,,,,,,,,,,,,,0.182413468127,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,114
23,593,,,,,,,,,,,,,,,0.281866266629,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,119
24,594,0,1,0.192354450433,0.192354450433,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,129,8,8,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,129,0.254663465962,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,124
25,595,,,,,,,,,,,,,,,0.239926994569,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,130
26,596,,,,,,,,,,,,,,,0.233135364951,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,135
27,597,,,,,,,,,,,,,,,0.282090257917,dscyldfz,qwen36_35b_a3b_sft3ep_rlmixed_b_16x16-20260707193506,2026-07-07T19:37:35Z,140
